Final_score	Birds	Bonus_cards	End_of_round_goals	Eggs	Food_on_cards	Tucked_cards	Nectar	Win	Player	Place	Forest	Grass	Water	turn_order	Win_bool	allbirds	N_birds
124	52	38	10	15	0	7	2	0	Nino						FALSE		0
121	50	17	10	16	0	16	12	0	Lucius						FALSE		0
118	39	11	16	21	0	29	2	0	Hawkeye						FALSE		0
142	66	16	17	20	0	16	7	1	Florina						TRUE		0
108	43	12	12	5	0	36	0	0	Lowen						FALSE		0
117	36	19	9	13	15	0	15	0	Hawkeye						FALSE		0
136	34	8	5	40	5	24	9	1	Sain						TRUE		0
113	50	17	16	13	0	7	10	0	Nino	3_4				1	FALSE		0
115	65	16	18	5	0	9	2	0	Lucius	2_4				2	FALSE		0
128	63	10	13	28	0	7	7	1	Sain	1_4				3	TRUE		0
103	53	3	14	3	0	28	2	0	Hawkeye	4_4				4	FALSE		0
124	46	6	5	0	0	43	15	1	Hawkeye						TRUE		0
117	38	6	11	21	0	22	9	0	Sain						FALSE		0
132	58	30	15	15	0	10	4	1	Nino	1_4				1	TRUE		0
114	47	15	15	18	8	4	7	0	Lucius	3_4				2	FALSE		0
101	56	12	8	8	0	20	5	0	Hawkeye	4_4				3	FALSE		0
132	61	7	19	19	0	22	10	1	Sain	1_4				4	TRUE		0
128	50	8	9	17	14	5	10	1	Hawkeye						TRUE		0
